trial_number,image_width,image_height,number_of_iter,duration_ms,render_output_image
1,32,32,10,217,false
2,32,32,10,291,false
3,32,32,10,225,false
1,64,64,10,801,false
2,64,64,10,773,false
3,64,64,10,760,false
1,32,32,10,236,false
2,32,32,10,215,false
3,32,32,10,235,false
1,64,64,10,757,false
2,64,64,10,835,false
3,64,64,10,765,false
1,128,128,10,3009,false
2,128,128,10,2977,false
3,128,128,10,2943,false
1,256,256,10,12291,false
2,256,256,10,12727,false
3,256,256,10,12091,false
1,512,512,10,55323,false
2,512,512,10,60434,false
3,512,512,10,60062,false
